latitude,longitude,depth,d13C,datasetNam,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,Cruise
-71.900000000000006,-18.270000000000000,3181.000000000000000,0.660000000000000,M12,1369-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-71.870000000000005,-23.449999999999999,3957.000000000000000,0.580000000000000,M12,1635-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-71.799999999999997,-105.189999999999998,546.000000000000000,0.630000000000000,M12,2544-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XI/3
-71.750000000000000,-18.980000000000000,4017.000000000000000,0.640000000000000,M12,1368-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-71.719999999999999,-19.250000000000000,4133.000000000000000,0.520000000000000,M12,1483-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-71.709999999999994,-38.430000000000000,3699.000000000000000,1.230000000000000,M12,2815-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XIV/3
-71.480000000000004,-76.090000000000003,730.000000000000000,-0.300000000000000,M12,2527-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XI/3
-71.469999999999999,-24.840000000000000,3697.000000000000000,0.740000000000000,M12,2003-4,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IX/3
-71.390000000000001,-24.329999999999998,3929.000000000000000,0.730000000000000,M12,2008-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IX/3
-71.390000000000001,-24.129999999999999,4225.000000000000000,0.420000000000000,M12,2007-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IX/3
-71.379999999999995,-24.390000000000001,3881.000000000000000,0.640000000000000,M12,2005-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IX/3
-71.349999999999994,-13.410000000000000,229.000000000000000,1.350000000000000,M12,1265-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
